,,,,,,,,,,
,Var #,Var name,Explanation,Max value,Variable Type,Is normalized,,,,
,v158,tf32,"The number of taxfilers with income from $35,000 to $44,999",0.2832168,numeric,normalized,,,,
,v159,tf33,"The number of taxfilers with income from $45,000 to $54,999",0.1492843,numeric,normalized,,,,
,v160,tf34,"The number of taxfilers with income from $55,000 to $74,999",0.2431193,numeric,normalized,,,,
,v161,tf35,"The number of taxfilers with income from $75,000 to $99,999",0.2054795,numeric,normalized,,,,
,v162,tf36,"The number of taxfilers with income from $100,000 to $149,999",0.1,numeric,normalized,,,,
,v163,tf37,"The number of taxfilers with income from $150,000 and over",0.16,numeric,normalized,,,,
,v164,tf38,The average total income,92,numeric,not normalized,,,,
,v165,tf39,The average total male income,140,numeric,not normalized,,,,
,v166,tf42,The average total female income,52,numeric,not normalized,,,,
,v167,tf46,Total female with employment income > 0,0.5151515,numeric,normalized,,,,
,v168,tf47,"Total earn T4 < $15,000",0.6428571,numeric,normalized,,,,
,v169,tf49,"Total earn T4 $15,000 to $24,999",0.2808511,numeric,normalized,,,,
,v170,tf50,"Total earn T4 $45,00 and over",0.5342466,numeric,normalized,,,,
,v171,tf51,Total taxfilers with unemployment benefits,0.5815603,numeric,normalized,,,,
,v172,tf52,Total male taxfilers with unemployment benefits,0.3404255,numeric,normalized,,,,
,v173,tf55,Total female taxfilers with unemployment benefits,0.2411347,numeric,normalized,,,,
,v174,tf56,Total female taxfiler with family allowance,0.3038462,numeric,normalized,,,,
,v175,tf57,Total taxfilers with interest and other investment income,0.8431373,numeric,normalized,,,,
,v176,tf58,Total male taxfilers with interest and other investment income,0.4117647,numeric,normalized,,,,
,v177,tf62,Total female taxfilers with interest and other investment income,0.6666667,numeric,normalized,,,,
,v178,tf65,Total taxfilers with interest & other investment income from $1 to $499,0.5,numeric,normalized,,,,
,v179,tf68,Total taxfilers with interest & other investment income from $10000 and up,0.2284173,numeric,normalized,,,,
,v180,tf70,Average total income with interest and other investment income from $500 to 4999,4900,numeric,not normalized,,,,
,v181,tf71,Total taxfilers with dividends income,0.48,numeric,normalized,,,,
,v182,tf72,Total male taxfilers with dividends income,0.24,numeric,normalized,,,,
,v183,tf73,Total female taxfilers with dividends income,0.2,numeric,normalized,,,,
,v184,tf74,Total taxfiler dollars with dividends income,9.64,numeric,not normalized,,,,
,v185,tf75,Total male taxfiler dollars with dividends income,5.821476,numeric,not normalized,,,,
,v186,tf76,Total female taxfiler dollars with dividends income,4.32,numeric,not normalized,,,,
,v187,tf77,Total taxfilers with dividend income from $1 to 500,0.2209302,numeric,normalized,,,,
,v188,tf80,Total taxfilers with dividend income from $500 to 4999,0.1686747,numeric,normalized,,,,
,v189,tf88,Total taxfilers with dividend income from $20000 and up,0.12,numeric,normalized,,,,
,v190,tf89,Total taxfilers dollars with self employment income,37.05,numeric,not normalized,,,,
,v191,tf90,Total male dollars with self employment income,35.8,numeric,not normalized,,,,
,v192,tf91,Total female dollars with self employment income,3.886956,numeric,not normalized,,,,
,v193,tf92,Total taxfilers with RRSP contributions,0.6050724,numeric,normalized,,,,
,v194,tf93,Total male taxfilers with RRSP contributions,0.369863,numeric,normalized,,,,
,v195,tf94,Total female taxfilers with RRSP contributions,0.3333333,numeric,normalized,,,,
,v196,tf95,Sum RRSP dollars,9210,numeric,not normalized,,,,
,v197,tf96,Sum male RRSP dollars,6553,numeric,not normalized,,,,
,v198,tf99,Sum female RRSP dollars,2657,numeric,not normalized,,,,
,v199,totalspend,Total taxfilers with RRSP from $1000 to 3999,0.369863,numeric,normalized,,,,
,v200,totaltrans,"indicator indicating one of the 3 gender categories, male, female or unknown",1,binary,FALSE,,,,
